,PJME_MW,hour,day_of_week,quarter,week,month,year,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_holiday,days_to_holiday,ma_7d,ma_30d,ma_90d,roll_std_7d,roll_min_7d,roll_max_7d,ewma_7d,ewma_30d,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h
2002-04-01 00:00:00,23014.0,0,0,2,14,4,2002,91,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,42,27585.255952380954,28779.6625,30053.679166666665,4233.818241040531,19247.0,35207.0,26608.078725803014,28594.306333849596,24487.0,25920.0,26680.0,24328.0,24333.0,22985.0,23695.0,24797.0
2002-04-01 01:00:00,21734.0,1,0,2,14,4,2002,91,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,42,27574.940476190477,28773.4,30049.67037037037,4246.005879009001,19247.0,35207.0,26550.39732076354,28575.22920176002,23014.0,24487.0,25920.0,26048.0,24203.0,21175.0,22084.0,23467.0
2002-04-01 02:00:00,20971.0,2,0,2,14,4,2002,91,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,42,27563.678571428572,28766.975,30045.830555555556,4261.0608787287065,19247.0,35207.0,26484.368950103177,28554.0835151517,21734.0,23014.0,24487.0,26796.0,23874.0,20010.0,21015.0,22863.0
2002-04-01 03:00:00,20721.0,3,0,2,14,4,2002,91,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,42,27552.458333333332,28760.79861111111,30042.29537037037,4276.646912316275,19247.0,35207.0,26416.163400397367,28532.30158440961,20971.0,21734.0,23014.0,26680.0,23508.0,19447.0,20515.0,22606.0
2002-04-01 04:00:00,20771.0,4,0,2,14,4,2002,91,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,42,27541.255952380954,28754.665277777778,30038.99537037037,4291.994897895004,19247.0,35207.0,26349.35673293661,28510.719409565856,20721.0,20971.0,21734.0,25920.0,23405.0,19247.0,20185.0,22653.0
2002-04-01 05:00:00,21334.0,5,0,2,14,4,2002,91,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,42,27529.214285714286,28748.956944444446,30035.88287037037,4306.617552584094,19247.0,35207.0,26290.003398818637,28490.762942778725,20771.0,20721.0,20971.0,24487.0,23664.0,19258.0,20258.0,23357.0
2002-04-01 06:00:00,23015.0,6,0,2,14,4,2002,91,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,42,27514.535714285714,28744.58611111111,30033.272222222222,4317.82837534749,19247.0,35207.0,26251.24596214598,28475.53646780496,21334.0,20771.0,20721.0,23014.0,24328.0,19725.0,20641.0,25481.0
2002-04-01 07:00:00,25514.0,7,0,2,14,4,2002,91,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,42,27493.583333333332,28742.06527777778,30031.515740740742,4318.951284352065,19247.0,35207.0,26242.521157860174,28467.301367836957,23015.0,21334.0,20771.0,21734.0,26048.0,20018.0,21063.0,29034.0
2002-04-01 08:00:00,28033.0,8,0,2,14,4,2002,91,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,42,27473.82738095238,28741.49027777778,30030.792592592592,4308.775222279713,19247.0,35207.0,26263.710256583854,28466.093720711004,25514.0,23015.0,21334.0,20971.0,26796.0,21440.0,22678.0,31352.0
2002-04-01 09:00:00,29560.0,9,0,2,14,4,2002,91,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,42,27457.47619047619,28740.477777777778,30030.61527777778,4295.516027155414,19247.0,35207.0,26302.719602660025,28469.13548840233,28033.0,25514.0,23015.0,20721.0,26680.0,22997.0,24776.0,32307.0
